,year,rank,title,artist
250,1952,27,I'll Walk Alone,
251,1952,28,Tell Me Why,Eddie Fisher
252,1952,29,Trying,The Hilltoppers
253,1952,30,"Please, Mr. Sun",Johnnie Ray
254,1953,,,
255,1953,1,The Song from Moulin Rouge,Percy Faith
256,1953,2,Vaya con Dios,Les Paul and Mary Ford
257,1953,3,(How Much Is) That Doggie in the Window?,Patti Page
258,1953,4,I'm Walking Behind You,Eddie Fisher
259,1953,5,"You, You, You",Ames Brothers
260,1953,6,Till I Waltz Again with You,Teresa Brewer
261,1953,7,April in Portugal,Les Baxter
262,1953,8,No Other Love,Perry Como
263,1953,9,Don't Let the Stars Get in Your Eyes,Perry Como
264,1953,10,I Believe,Frankie Laine
265,1953,11,Oh,Pee Wee Hunt
266,1953,12,Ebb Tide,Frank Chacksfield
267,1953,13,Pretend,Nat King Cole
268,1953,14,Ruby,Richard Hayman
269,1953,15,St. George and the Dragonet,Stan Freberg
270,1953,16,P.S. I Love You,The Hilltoppers
271,1953,17,Tell Me You're Mine,The Gaylords
272,1953,18,"Eh, Cumpari!",Julius La Rosa
273,1953,19,Rags to Riches,Tony Bennett
274,1953,20,Anna,Silvana Mangano
275,1953,21,Say You're Mine Again,Perry Como
276,1953,22,Dragnet,Ray Anthony
277,1953,23,Tell Me a Story,Jimmy Boyd
278,1953,24,Crying in the Chapel,June Valli
279,1953,25,Why Don't You Believe Me?,Joni James
280,1953,26,Your Cheatin' Heart,
281,1953,27,Limelight (Terry's Theme),Frank Chacksfield
282,1953,28,With These Hands,Eddie Fisher
283,1953,29,C'est si bon,Eartha Kitt
284,1953,30,Have You Heard?,Joni James
285,1954,,,
286,1954,1,Little Things Mean a Lot,Kitty Kallen
287,1954,2,Wanted,Perry Como
288,1954,3,Hey There,Rosemary Clooney
289,1954,4,Sh-Boom,The Crew-Cuts
290,1954,5,Make Love to Me,Jo Stafford
291,1954,6,Oh! My Pa-Pa,Eddie Fisher
292,1954,7,(Oh Baby Mine) I Get So Lonely,The Four Knights
293,1954,8,Three Coins in the Fountain,The Four Aces
294,1954,9,Secret Love,Doris Day
295,1954,10,Hernando's Hideaway,Archie Bleyer
296,1954,11,Young at Heart,Frank Sinatra
297,1954,12,This Ole House,Rosemary Clooney
298,1954,13,I Need You Now,Eddie Fisher
299,1954,14,Cross Over the Bridge,Patti Page
300,1954,15,The Little Shoemaker,The Gaylords
301,1954,16,That's Amore,Dean Martin
302,1954,17,The Happy Wanderer,Frank Weir
303,1954,18,"Answer Me, My Love",Nat King Cole
304,1954,19,Stranger in Paradise,Tony Bennett
305,1954,20,If I Give My Heart to You,Doris Day
306,1954,21,If You Love Me (Really Love Me),Kay Starr
307,1954,22,Skokiaan,Ralph Marterie
308,1954,23,Hold My Hand,Don Cornell
309,1954,24,Changing Partners,Patti Page
310,1954,25,Papa Loves Mambo,Perry Como
311,1954,26,"Shake, Rattle and Roll",Bill Haley & His Comets
312,1954,27,Rags to Riches,Tony Bennett
313,1954,28,In the Chapel in the Moonlight,Kitty Kallen
314,1954,29,Stranger in Paradise,The Four Aces
315,1954,30,Here,Tony Martin
316,1955,,,
317,1955,1,Cherry Pink And Apple Blossom White,Perez Prado
318,1955,2,Rock Around the Clock,Bill Haley & His Comets
319,1955,3,The Yellow Rose of Texas,Mitch Miller
320,1955,4,Autumn Leaves,Roger Williams
321,1955,5,Unchained Melody,Les Baxter
322,1955,6,The Ballad of Davy Crockett,Bill Hayes
323,1955,7,Love Is a Many-Splendored Thing,The Four Aces
324,1955,8,Sincerely,The McGuire Sisters
325,1955,9,Ain't That a Shame,Pat Boone
326,1955,10,"The Wallflower (Dance with Me, Henry)",Georgia Gibbs
327,1955,11,The Crazy Otto Medley,Johnny Maddox
328,1955,12,Melody of Love,Billy Vaughn
329,1955,13,Sixteen Tons,Tennessee Ernie Ford
330,1955,14,Learnin' the Blues,Frank Sinatra
331,1955,15,Hearts of Stone,The Fontane Sisters
332,1955,16,Tweedle Dee,Georgia Gibbs
333,1955,17,Moments to Remember,The Four Lads
334,1955,18,Mr. Sandman,The Chordettes
335,1955,19,"Let Me Go, Lover!",Joan Weber
336,1955,20,A Blossom Fell,Nat King Cole
337,1955,21,Unchained Melody,Al Hibbler
338,1955,22,The Ballad of Davy Crockett,Fess Parker
339,1955,23,Honey-Babe,Art Mooney
340,1955,24,The Ballad of Davy Crockett,Tennessee Ernie Ford
341,1955,25,Ko Ko Mo (I Love You So),Perry Como
342,1955,26,Hard to Get,Gisele MacKenzie
